,Car Coord X,Car Coord Y
0,276.4375,-237.53333333333336
1,276.52500000000003,-237.41666666666666
2,276.6125,-237.28333333333336
3,276.71250000000003,-237.15
4,276.825,-237.0
5,276.9375,-236.85000000000002
6,277.05,-236.68333333333337
7,277.1875,-236.51666666666665
8,277.3125,-236.33333333333337
9,277.46250000000003,-236.15
10,277.6125,-235.95000000000002
11,277.77500000000003,-235.75
12,277.9375,-235.55
13,278.1125,-235.33333333333337
14,278.3,-235.11666666666667
15,278.4875,-234.88333333333335
16,278.6875,-234.65
17,278.9125,-234.41666666666666
18,279.1375,-234.16666666666666
19,279.3625,-233.91666666666666
20,279.6125,-233.66666666666666
21,279.875,-233.41666666666666
22,280.15000000000003,-233.16666666666666
23,280.425,-232.95000000000002
24,280.7,-232.71666666666667
25,280.975,-232.5
26,281.25,-232.26666666666665
27,281.52500000000003,-232.05
28,281.7875,-231.81666666666666
29,282.05,-231.58333333333337
30,282.3125,-231.35000000000002
31,282.5625,-231.11666666666667
32,282.825,-230.88333333333335
33,283.08750000000003,-230.65
34,283.35,-230.41666666666666
35,283.625,-230.16666666666666
36,283.9125,-229.91666666666666
37,284.21250000000003,-229.65
38,284.52500000000003,-229.36666666666667
39,284.83750000000003,-229.08333333333337
40,285.1625,-228.8
41,285.4875,-228.48333333333335
42,285.825,-228.16666666666666
43,286.175,-227.85000000000002
44,286.52500000000003,-227.51666666666665
45,286.8875,-227.16666666666666
46,287.25,-226.81666666666666
47,287.6125,-226.45000000000002
48,287.9875,-226.06666666666666
49,288.375,-225.68333333333337
50,288.7625,-225.28333333333336
51,289.15000000000003,-224.88333333333335
52,289.5375,-224.45000000000002
53,289.9375,-224.01666666666665
54,290.325,-223.56666666666666
55,290.725,-223.10000000000002
56,291.1125,-222.61666666666667
57,291.4875,-222.13333333333335
58,291.83750000000003,-221.63333333333335
59,292.1875,-221.13333333333335
60,292.5375,-220.63333333333335
61,292.875,-220.15
62,293.2375,-219.66666666666666
63,293.58750000000003,-219.18333333333337
64,293.95,-218.71666666666667
65,294.3125,-218.25
66,294.675,-217.78333333333336
67,295.0375,-217.31666666666666
68,295.3875,-216.86666666666667
69,295.75,-216.4
70,296.1,-215.95000000000002
71,296.46250000000003,-215.5
72,296.8125,-215.05
73,297.1625,-214.58333333333337
74,297.52500000000003,-214.13333333333335
75,297.8875,-213.65
76,298.2625,-213.18333333333337
77,298.65000000000003,-212.68333333333337
78,299.0375,-212.18333333333337
79,299.425,-211.68333333333337
80,299.825,-211.16666666666666
81,300.225,-210.65
82,300.6375,-210.11666666666667
83,301.1125,-209.48333333333335
84,301.46250000000003,-209.03333333333336
85,301.8875,-208.48333333333335
86,302.3,-207.95000000000002
87,302.71250000000003,-207.4
88,303.125,-206.83333333333337
89,303.52500000000003,-206.3
90,303.95,-205.73333333333335
91,304.3625,-205.15
92,304.8,-204.56666666666666
93,305.225,-203.96666666666667
94,305.675,-203.36666666666667
95,306.1125,-202.75
96,306.5625,-202.11666666666667
97,307.02500000000003,-201.46666666666667
98,307.4875,-200.8
99,307.9375,-200.13333333333335
100,308.4125,-199.45000000000002
101,308.875,-198.75
102,309.35,-198.03333333333336
103,309.8125,-197.3
104,310.2875,-196.55
105,310.7625,-195.8
106,311.2375,-195.03333333333333
107,311.71250000000003,-194.25
108,312.2,-193.45000000000002
109,312.6875,-192.63333333333333
110,313.175,-191.8166666666667
111,313.675,-190.98333333333335
112,314.175,-190.13333333333333
113,314.675,-189.26666666666668
114,315.1875,-188.38333333333333
115,315.7,-187.5
116,316.2375,-186.58333333333334
117,316.7625,-185.68333333333334
118,317.3,-184.75
119,317.83750000000003,-183.8166666666667
120,318.38750000000005,-182.86666666666667
121,318.9375,-181.9
122,319.4875,-180.91666666666669
123,320.05,-179.93333333333334
124,320.6125,-178.93333333333334
125,321.175,-177.9
126,321.75,-176.86666666666667
127,322.32500000000005,-175.83333333333334
128,322.90000000000003,-174.76666666666668
129,323.475,-173.68333333333334
130,324.0625,-172.60000000000002
131,324.63750000000005,-171.5
132,325.225,-170.38333333333333
133,325.7875,-169.28333333333333
134,326.3625,-168.16666666666669
135,326.9375,-167.03333333333333
136,327.52500000000003,-165.9
137,328.1125,-164.73333333333335
138,328.70000000000005,-163.5666666666667
139,329.3,-162.38333333333333
140,329.9125,-161.20000000000002
141,330.51250000000005,-159.98333333333335
142,331.125,-158.76666666666668
143,331.75,-157.53333333333333
144,332.375,-156.3
145,333.0,-155.03333333333333
146,333.63750000000005,-153.76666666666668
147,334.27500000000003,-152.48333333333335
148,334.925,-151.20000000000002
149,335.5625,-149.88333333333333
150,336.225,-148.5666666666667
151,336.875,-147.23333333333335
152,337.5375,-145.88333333333333
153,338.20000000000005,-144.51666666666668
154,338.8625,-143.13333333333333
155,339.52500000000003,-141.75
156,340.20000000000005,-140.35
157,340.875,-138.93333333333334
158,341.55,-137.51666666666668
159,342.21250000000003,-136.1
160,342.88750000000005,-134.66666666666669
161,343.5625,-133.23333333333332
162,344.2375,-131.78333333333333
163,344.9125,-130.33333333333334
164,345.6,-128.85
165,346.2875,-127.36666666666667
166,346.96250000000003,-125.88333333333333
167,347.65000000000003,-124.36666666666667
168,348.33750000000003,-122.85
169,349.02500000000003,-121.31666666666669
170,349.70000000000005,-119.78333333333333
171,350.38750000000005,-118.21666666666668
172,351.0625,-116.65
173,351.7375,-115.08333333333333
174,352.40000000000003,-113.48333333333333
175,353.07500000000005,-111.9
176,353.75,-110.30000000000001
177,354.425,-108.7
178,355.1125,-107.10000000000001
179,355.8,-105.51666666666668
180,356.4875,-103.93333333333334
181,357.1875,-102.33333333333333
182,357.90000000000003,-100.76666666666668
183,358.6125,-99.18333333333334
184,359.32500000000005,-97.60000000000001
185,360.0375,-96.03333333333333
186,360.75,-94.46666666666668
187,361.475,-92.9
188,362.20000000000005,-91.33333333333334
189,362.925,-89.78333333333335
190,363.65000000000003,-88.21666666666667
191,364.38750000000005,-86.66666666666667
192,365.125,-85.11666666666667
193,365.8625,-83.56666666666666
194,366.6,-82.01666666666667
195,367.45000000000005,-80.23333333333335
196,368.125,-78.85000000000001
197,368.8625,-77.28333333333335
